target_dim,lmr_edges,lr,ijk,kendall,residual variance,globalh0,globalh1
2,2,0.1,0.02100000000000002,-0.9594606159482281,0.0036385453083337405,6.524360472641366,4.837954733627471
2,3,0.1,0.02059999999999995,-0.9600793804122045,0.0036080830905103056,7.2399006924664535,5.454053557375024
2,5,0.1,0.02100000000000002,-0.9623891825938259,0.003620747690845527,8.5302690803852,9.46160665197976
2,10,0.1,0.02529999999999999,-0.9504808523203153,0.006185015048964959,5.600852458003031,8.929513052815903
2,2,1.0,0.025800000000000045,-0.9484414137155003,0.005631456065009255,9.863170649873174,3.7656923706705054
2,3,1.0,0.028200000000000003,-0.9491806083117078,0.005707664466381712,12.277883949841007,4.679877845610157
2,5,1.0,0.023800000000000043,-0.9528702789560997,0.005420534261714738,12.707255206588915,9.444972985899799
2,10,1.0,0.022199999999999998,-0.9505021718386741,0.005897575033920299,8.87511045568164,9.700164171492164
2,2,2.0,0.026499999999999968,-0.9453126166109389,0.006309509138335834,10.463405369051388,4.038063470440251
2,3,2.0,0.02849999999999997,-0.9461732668413757,0.006431898840380534,11.838986531098135,4.6278874708901645
2,5,2.0,0.028699999999999948,-0.9513141751862806,0.005788975707165966,13.814733572457635,9.70570192280703
2,10,2.0,0.026499999999999968,-0.947277273737414,0.006276371747425791,9.953631510814697,9.620965418405955
