target_dim,perplexity,ijk,kendall,residual variance,globalh0,globalh1
2,2.0,0.47309999999999997,-0.051818522128856334,0.9943922492735476,87.03965690474718,42.22077985283534
2,4.35483870967742,0.39970000000000006,-0.18190021389603386,0.9578246250415698,111.16421022519935,36.651913513210744
2,6.709677419354839,0.29069999999999996,-0.39227204654540715,0.7232386595762968,123.25941510420888,36.917285505948854
2,9.064516129032258,0.30369999999999997,-0.3750245773301974,0.7910851503710787,124.21560762297135,36.02388818711839
2,11.419354838709678,0.24919999999999998,-0.49261542652585955,0.610994124274993,127.73051368589145,37.28034320766774
2,13.774193548387098,0.29569999999999996,-0.4084912634018579,0.7400543598284246,126.12019653532435,37.95664941074332
2,16.129032258064516,0.30379999999999996,-0.40612468213051867,0.7523541953153448,127.99630205379682,37.61621801165695
2,18.483870967741936,0.1642,-0.6654715426850744,0.3236956171047518,128.61233883625724,38.2462154583765
2,20.838709677419356,0.22509999999999997,-0.5417688119141061,0.5361907337780615,127.99796516653089,39.19232758114219
2,23.193548387096776,0.22699999999999998,-0.5260507156851641,0.5850683884420657,127.48942965392511,38.24069997556941
2,25.548387096774196,0.2178,-0.5763900730747004,0.4776974757639826,126.57552182842849,38.32602005848998
2,27.903225806451616,0.17269999999999996,-0.642866444444842,0.3838184013120791,128.0325409714264,39.43614906745411
2,30.258064516129032,0.16949999999999998,-0.6606401096307138,0.3349525839376396,127.2391398704138,38.12888545500159
2,32.61290322580645,0.20489999999999997,-0.5823419992388458,0.4825107910728291,127.1468087322214,37.90008640199376
2,34.96774193548387,0.16959999999999997,-0.6543154102534693,0.3382974105807609,127.24469722060765,37.392134092295386
2,37.322580645161295,0.16569999999999996,-0.6456872207418999,0.348889930701625,126.77366423067123,38.412808174270545
2,39.67741935483871,0.2066,-0.5820978970114953,0.48100206554458025,126.51529308077129,37.78219801580498
2,42.03225806451613,0.16249999999999998,-0.6531728849524366,0.3371342697908467,127.09599203022262,38.5418308817194
2,44.38709677419355,0.21899999999999997,-0.5566532553311688,0.5288317700252736,125.8030043926378,36.60007101108591
2,46.74193548387097,0.22230000000000005,-0.552014702945162,0.5330579147220946,126.13458613445206,39.14429464481839
2,49.09677419354839,0.1926,-0.600833641783981,0.46406180047813306,126.27332667580545,38.778596795258345
2,51.45161290322581,0.15810000000000002,-0.6624798961542946,0.3251405036142341,127.50497573617356,38.47353066453516
2,53.80645161290323,0.21050000000000002,-0.5662903549922002,0.5052417507441743,126.73268790776703,37.25466352051266
2,56.16129032258065,0.21960000000000002,-0.5545561124028626,0.5300794331694522,125.69415120403197,38.991727860940614
2,58.516129032258064,0.2097,-0.5784772963823192,0.4903699584773581,123.36223281088658,36.25012994154098
2,60.87096774193549,0.20799999999999996,-0.5741857039160884,0.5056578089521314,126.38555419790286,36.88033385893243
2,63.225806451612904,0.2258,-0.5516088154898416,0.5393796932372565,125.99102850496567,37.38326019534639
2,65.58064516129033,0.22330000000000005,-0.5646711682463164,0.5099719198186612,127.04772394336791,39.34124207803332
2,67.93548387096774,0.2258,-0.5625566744635495,0.5127100638393676,126.34349312401719,37.8986523251844
2,70.29032258064517,0.21799999999999997,-0.5636382574253644,0.5095790306817298,125.46377800901054,37.346752698007506
2,72.64516129032259,0.2158,-0.5679471297553167,0.5010042421399103,126.12981275318387,38.80123724742992
2,75.0,0.22919999999999996,-0.5494835620771604,0.5350506373712345,125.14879350914819,38.82042574611895
